Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,99.05046844,99.13484955,99,99.27202606,99.3184967,99.3460083,99.35309601,99.5,99.31825256,99.29678345,99.69999695,99.80428314,99.80000305,99.33442688,99.39576721,99.90000153,99.55799866,99.67411041,99.73505402,99.53282166,99.88272095,99.90000153,99.09999847,99.99266052,99.99911499,100,100,100,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,79.9806366,79.79773712,79.5958786,79.37358856,79.22663116,79.02005768,78.30000305,78.60987091,78.42015839,78.24994659,78.10409546,77.97900391,77.86898804,77.76837921,77.67147064,77.57258606,77.46603394,77.34738922,77.21730804,77.07769012,76.93043518,76.77745819,76.62067413,76.4619751,76.30296326,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19999695,79.2469635,79.89573669,80.55013275,81.21709442,85.69999695,82.61438751,83.34597015,84.09263611,84.84870148,85.60847473,85.19999695,87.11638641,87.85442352,91.98252106,85,85.40000153,96.59999847,91.92124939,92.62444305,93.2479248,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.98391701,100,100,100,99.9968724,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.27594622,78.43731299,78.58493215,78.67441309,78.88270731,79.22080884,79.28817582,80.70214286,79.57298211,80.08534903,80.94339696,82.6768477,82.6312791,82.65107497,82.97182189,81.49655737,82.91689344,82.8172739,82.17771891,83.4024831,83.41164231,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.57989502,90.06519318,90.53153992,90.97744751,91.44167328,91.85527802,92.05000305,92,93.11589813,93.56586456,94.04017639,94.53526306,96.47000122,95.56498718,96.08824921,96.60953522,97.12316132,97.26000214,98.11478424,98.59533691,99.06825256,99.5354538,99.82519531,99.97067261,100,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72.10547638,73.33535767,74.57085419,75.81892395,77.08649445,78.37841797,79.6911087,81.01888275,82.35604858,84.59127808,85.65329742,86.5388031,87.68618774,88.99388885,90.29204559,91.58258057,92.86738586,94.14837646,95.42746735,96.70623016,
